,id,word,word_vowel,word_lang,pair_id,pair_word,pair_word_vowel,pair_word_lang,type,rhyme_vowel,pos,syllable
2528,139.0,화상,ää,ko,246.0,갈망,ää,ko,kyaku,̈ä,verb,2.0
3787,246.0,갈망,ää,ko,139.0,화상,ää,ko,kyaku,̈ä,verb,2.0
5072,342.0,나팔,ää,ko,139.0,화상,ää,ko,kyaku,̈ä,verb,2.0
5439,387.0,나사,ää,ko,139.0,화상,ää,ko,kyaku,̈ä,verb,2.0
6293,457.0,아담,ää,ko,139.0,화상,ää,ko,kyaku,̈ä,verb,2.0
6551,479.0,반란,ää,ko,139.0,화상,ää,ko,kyaku,̈ä,verb,2.0
6814,508.0,달다,ää,ko,139.0,화상,ää,ko,kyaku,̈ä,verb,2.0
7045,540.0,파란,ää,ko,139.0,화상,ää,ko,kyaku,̈ä,verb,2.0
7063,542.0,사망,ää,ko,139.0,화상,ää,ko,kyaku,̈ä,verb,2.0
7096,546.0,살다,ää,ko,139.0,화상,ää,ko,kyaku,̈ä,verb,2.0
7119,550.0,사다,ää,ko,139.0,화상,ää,ko,kyaku,̈ä,verb,2.0
7254,574.0,하하,ää,ko,139.0,화상,ää,ko,kyaku,̈ä,verb,2.0
7338,590.0,알다,ää,ko,139.0,화상,ää,ko,kyaku,̈ä,verb,2.0
